,Categorical DQN*
181,5.668080605915372
182,15.484665507437526
183,3.3765757408965054
184,8.822816917500438
185,10.26723855776859
186,9.889480428100862
187,3.604041199766586
188,4.801050253465785
189,5.290778474579396
190,5.421552625528397
191,9.887300206860612
192,3.735340467604285
193,16.286869465165143
194,7.594569890506807
195,8.621792233039582
196,7.461337816921653
197,5.268924274972026
198,22.444318584669094
199,16.73449949593848
200,14.26238159904933
201,11.99529444944483
202,11.400262566615583
203,1.8685562523571728
204,1.6876008138714012
205,5.868205494677194
206,4.043828380415346
207,2.268243183658669
208,7.618378009317236
209,8.885187151345603
210,4.712033284376647
211,5.20168889862314
212,2.890156273020584
213,6.149788758055806
214,13.218965231095543
215,22.79848852219468
216,8.28640293689264
217,8.646144081944914
218,23.66409526659842
219,4.46558283623474
220,6.690418687921821
221,21.180162022607384
222,2.0241118079127283
223,21.242582276661757
224,9.357084495399768
225,2.0023517191936637
226,12.15049236123953
227,11.13272815045473
228,9.00193267741261
229,2.246491675870039
230,4.380084701482817
231,17.26486394522219
232,4.908215514652262
233,8.22425942057063
234,17.443556418084782
235,6.44558866637991
236,13.313456840787982
237,5.19734321108851
238,16.218582646277753
239,6.8015290537497854
240,8.439189702909225
241,26.31308257801543
242,18.974370143573648
243,3.7575495226230418
244,11.00090665726528
245,5.774650947139551
246,18.88736942356352
247,8.159604848666437
248,27.8641000158374
249,2.1134628303047753
250,38.92472677013665
251,2.753732904965122
252,3.5078715042551503
253,1.7532433515667778
254,20.93256457185844
255,2.4882661657937137
256,9.248172004990172
257,8.48434730551023
258,1.8643544626778892
259,17.97735366192625
260,4.177161290687873
261,9.237665257718668
262,9.933457532386061
263,18.91070508130606
264,14.77630216386789
265,9.223139459730392
266,12.641707109671504
267,21.5997171816568
268,8.399953927215611
269,1.2245739414158863
270,15.906095888746151
271,11.025123929177576
272,35.72888499113024
273,7.911568866637977
274,14.13529563218009
275,12.084680951497752
276,1.8190447735316837
277,26.02256878166067
278,4.444819591931924
279,10.729991225493483
280,17.02198259576714
281,2.046796163638108
282,1.0268861454046638
283,19.6191646892702
284,12.72824401243755
285,2.794722360007408
286,20.527872865371698
287,25.41910799145072
288,3.889967540156376
289,1.8
290,3.934383586799119
291,12.731259706164957
292,25.556914483792195
293,20.77683995085438
294,32.46501545714674
295,2.8430046437705494
296,0.9993780516752842
297,14.348729705652248
298,12.977651523293906
299,11.062008808885125
300,5.63729159215073
301,1.6431563694269566
302,4.332710609458529
303,3.9131182453820625
304,9.401106324248413
305,4.330473819257871
306,6.1114940655924235
307,15.22050811506454
308,6.575471653045308
309,10.358218425520398
310,14.957594663554872
311,4.734863243303757
312,2.7151523108776967
313,23.44324273119092
314,12.285041294397246
315,19.95456856061385
316,24.090268032224255
317,13.645358133820366
318,8.40188947933025
319,10.577486351969712
320,7.423442049270309
321,8.01830138375463
322,1.7104891627863954
323,2.6865766849001114
324,14.356626727225175
325,18.5337677303107
326,5.557023613225393
327,1.9130006968016178
328,8.42375245001645
329,14.865571005005373
330,8.08729998808368
331,18.89080096854979
332,1.7764897027602902
333,5.249109062972893
334,10.932087284452273
335,20.15708140262704
336,4.130845939339026
337,21.022366132291648
338,23.77788980841408
339,4.551350494280679
340,15.447018342851424
341,4.866954284480698
342,4.909198067199123
343,3.7131583425367056
344,9.8677234543505
345,33.328954547090625
346,17.149499427289076
347,31.55232956132679
348,7.84288977910204
349,35.8677336755278
350,3.7524764468792897
351,2.9337084808208127
352,0.9987986913137052
353,12.423381270150372
354,41.02367032987614
355,6.933421478270106
356,6.463581136538154
357,1.6210209135359275
358,10.374803132575641
359,12.888529380606233
360,10.061746187267198
361,4.685062507733124
362,4.40080645197217
363,8.795746236569496
364,14.689320503513642
365,8.17413497774985
366,17.06279013268974
367,3.397608183651693
368,33.32905879558807
369,3.3546287851755507
370,10.71153157358188
371,2.553689417266844
372,14.10490403573029
373,18.623644408497313
374,18.337378197340865
375,40.30379643648614
376,3.5058237013622047
377,1.9818189775443635
378,6.4453525003350824
379,22.0224921390258
380,17.646451684166536
381,4.641051740098121
382,1.1293447509844774
383,40.14877430465975
384,4.352621068954859
385,6.176171144918224
386,1.75959719616304
387,1.8690183858603309
388,8.17840095345973
389,2.001889585690506
390,2.6421322404556666
391,22.576195664222418
392,41.02060134388107
393,17.51069521318748
394,22.954643504248406
395,3.0011280686402437
396,1.290778474579395
397,3.845046196182167
398,5.445511748444359
399,4.9973252056787105
400,7.089947704334267
401,11.445537393883033
402,2.2912010928776665
403,2.0643544626778887
404,14.796053078516175
405,3.9296918961180562
406,15.713112963273808
407,23.46387493752076
408,4.023753250576963
409,1.7824417009602196
410,4.89041991724363
411,1.8685562523571728
412,22.92848380165836
413,11.17478098269116
414,22.686421114772415
415,19.13000004549504
416,6.598744665959407
417,11.08441002323135
418,10.33205552741539
419,30.838609958497962
420,6.246756054425103
421,2.6683961032814136
422,7.581185936373971
423,2.7350627699480805
424,6.684578847944862
425,7.8885120532823105
426,1.9157750342935527
427,4.979308806132519
428,3.3357251496816405
429,9.601993200954318
