,DQN with PER*
203,29.6196288515113
204,3.625684108954643
205,30.992435151850596
206,4.528324825228179
207,2.024573941415886
208,32.10786801755256
209,10.624614825725486
210,12.5339336614776
211,12.734862273144765
212,8.311456482738917
213,15.602306136762744
214,14.910064136051547
215,39.48168792452346
216,5.464882902005073
217,29.725032077987894
218,11.782091730299
219,10.864300111172174
220,10.373463242465613
221,20.39350673481336
222,9.529793665700147
223,37.01170916402001
224,11.865428915600202
225,3.6421322404556666
226,10.334536743201348
227,4.332710610238158
228,32.07925087885008
229,3.0242694536478165
230,22.954774207255713
231,7.682602982519485
232,22.463291570198354
233,21.90771453843194
234,11.889959947510974
235,9.818283035821665
236,8.798138041590478
237,13.293248428671976
238,12.891153986540258
239,14.066871571702666
240,18.95272525362935
241,3.7741739002666193
242,12.754284560224566
243,14.350631248730888
244,2.868556252357173
245,14.816933191211216
246,15.644537945245858
247,9.951098659667224
248,10.956140364120152
249,11.225729564726928
250,7.397888606256503
251,5.151859381510655
252,6.530149965729658
253,39.28347230996661
254,2.001889585690506
255,11.044618551073652
256,25.242324941100627
257,9.860382118093439
258,11.906947010402444
259,3.0242694536478165
260,20.99998861070508
261,16.13122348146674
262,6.576150132383402
263,2.868556252357173
264,8.690138002694955
265,3.5818194183852623
266,3.0242694536478165
267,18.50702916804557
268,5.112221278217145
269,11.711398892800641
270,11.174252060393819
271,29.62005573422258
272,5.511162289880261
273,16.26464569321864
274,2.022593208643202
275,30.754591470368837
276,3.0242694536478165
277,18.778127085150874
278,11.818157233987641
279,3.7579072747492193
280,15.224487018072722
281,7.219946838861051
282,31.86252120072616
283,3.0242694536478165
284,4.309329145005363
285,2.893248324303261
286,14.592870803735355
287,8.574642721845628
288,25.243933090114165
289,11.712640053094601
290,2.001889585690506
291,9.022668990417545
292,4.510806623343042
293,10.041821001603374
294,10.913816665269904
295,5.978087454261388
296,6.62067369013298
297,38.860039973520884
298,2.9084944193542634
299,9.793572881525506
300,8.486835578206986
301,11.77977884323169
302,2.862678084317811
303,31.31089664421343
304,35.48650475450527
305,5.194217274247058
306,3.6438224961197285
307,10.350195172771832
308,37.932122464096366
309,2.024573941415886
310,8.64858989320105
311,5.75101219608948
312,8.017194540762105
313,2.9084944193542634
314,3.0242694536478165
315,14.063301639679649
316,33.12643305306485
317,2.024573941415886
318,2.8629098775088404
319,25.911580202093425
320,11.001529051874433
321,2.862678084317811
322,8.778925784589685
323,11.156633221597703
324,38.03630122880241
325,22.79579401453714
326,3.625684108954643
327,9.778527589109801
328,3.601930825293664
329,2.0241118079127283
330,14.15709100458205
331,3.6438224961197285
332,4.360224759021737
333,41.621490561262725
334,2.9084944193542634
335,2.001889585690506
336,9.600538687690834
337,39.111478298922144
338,15.019565514944217
339,3.0242694536478165
340,12.62610346610769
341,13.308933661425536
342,26.952501353920084
343,5.048543446965175
344,4.492654545272282
345,3.0242694536478165
346,27.043627847948382
347,23.557365367119647
348,4.308707802960032
349,19.22085021382518
350,14.935216665178938
351,2.001889585690506
352,2.024573941415886
353,4.288266165014083
354,3.0242694536478165
355,8.66820969026053
356,7.355593675344548
357,38.992135189159605
358,15.088182137544905
359,3.661658158561512
360,11.001529051874433
361,14.33318190715439
362,12.733943699547755
363,2.846173881059192
364,11.024304563121142
365,12.732097013399317
366,13.512177341952512
367,11.1786260602661
368,8.15374457496746
369,3.6034618867324206
370,5.224619318854269
371,12.467731594135884
372,25.02422737051097
373,12.485029477314196
374,2.024573941415886
375,24.616939425078296
376,12.08792426283024
377,25.154839895748708
378,4.327742639770866
379,4.422822910441431
380,3.55959719616304
381,19.912261677077016
382,32.704054029190836
383,28.135527182275798
384,2.001889585690506
385,11.001071171383071
386,20.000461569990648
387,22.108044590311504
388,2.024573941415886
389,2.022593208643202
390,14.017512121036791
391,3.7963961224888414
392,2.907597284041689
393,9.998394550496972
394,16.37776303402574
395,11.001528939810852
396,15.063032587017291
397,16.356039122881256
398,11.755931337526304
399,2.024573941415886
400,9.082079881128738
401,13.93492383588336
402,14.111894029124596
403,12.577904651663848
404,12.689354338864014
405,27.48243268853432
406,23.795196194686703
407,3.55959719616304
408,38.4811143782478
409,14.9139611642636
410,14.15651929032746
411,3.690617884666696
412,11.179778830967841
413,11.777697947068447
414,13.04025182994546
415,10.979306829652211
416,4.929237551963151
417,3.0242694536478165
418,6.598003477266823
419,9.44451067064766
420,13.243243000854203
421,3.9117136314726846
422,8.579625305126457
423,14.11398974426334
424,12.623333354036747
425,20.044616043677323
426,16.2216700102288
427,9.218499171506732
428,2.8912406080825526
429,16.088530561985316
430,21.355782412908
431,13.307723629096909
432,11.688131586964841
433,12.733963295362074
434,24.888915463321215
435,12.624224074380749
436,11.023293305015486
437,36.46318662189878
438,3.661658158561512
439,26.084767509597825
440,6.864658733423147
441,2.001889585690506
442,3.0242694536478165
443,7.353599129487804
444,11.180083318732285
445,25.038563060501275
446,11.112653892567597
447,3.0242694536478165
448,38.528681738401815
449,13.380083318763447
450,11.17502116624268
451,3.04105174009812
452,21.508697548043866
453,2.022593208643202
454,3.77516108602093
455,2.022593208643202
456,2.907597284041689
457,10.487236224120219
458,9.333020140886392
459,13.284404325021526
460,27.974544154928267
461,2.9084944193542634
462,15.305022015874517
463,2.024573941415886
464,12.737373964643853
465,4.885012447187247
466,11.753821507488386
467,40.707655024572055
468,11.840212837564625
469,2.001889585690506
470,17.395595746581744
471,14.845946585993572
472,19.128568909616
473,10.528832477153042
474,2.8463340301349507
475,17.287610051493356
476,2.024573941415886
477,43.399324348126875
478,9.134441248992434
479,11.93714588563663
480,3.7741739002666193
481,5.130980918793663
482,4.376575740896506
483,2.024573941415886
484,2.8912406080825526
485,3.0242694536478165
486,11.845501252989937
487,14.867472300788764
488,14.067723457527958
489,3.0242694536478165
490,34.35489980614134
491,14.022505083922866
492,4.929237551963151
493,14.243777549218436
494,3.867240895241805
495,3.7579072747492193
496,19.92771057541199
497,36.87926489603023
498,6.6204447904293495
499,33.93441030665677
500,10.933917971097102
501,14.972175054517322
502,26.417823472162713
503,2.024573941415886
504,2.907597284041689
505,19.97753289505523
506,2.024573941415886
507,27.290498155532067
508,3.7599149909699277
509,39.8178885663264
510,2.022593208643202
511,2.024573941415886
512,4.440349959359185
513,12.46823636073784
514,19.464746707470848
515,39.24051831811661
516,34.35399933589437
517,33.8214403708915
518,19.621434713409013
519,2.001889585690506
520,7.489231421468876
521,28.038331780391204
522,4.264091156087648
523,2.862678084317811
524,27.776086712627315
525,10.397866676289265
526,16.087417491896332
527,11.17977952631022
528,18.174192467286684
529,39.72959144614529
530,11.046445497634508
531,12.468500097180408
532,25.44172900097408
533,12.624263464340133
534,2.001889585690506
535,30.99470280334187
536,23.576665342183258
537,2.024573941415886
538,11.179778830967841
539,2.8629098775088404
540,9.137156414178609
541,14.001195919731511
542,40.76828247674695
543,6.554001605095946
544,7.957084497576798
545,11.733474391663126
546,2.001889585690506
547,30.43704155529944
548,2.001889585690506
549,15.371541474410668
550,2.7761517145612213
551,13.373756808473273
552,17.66099684766209
553,12.646324480098867
554,25.198711510019756
555,10.818416614257217
556,2.024573941415886
557,38.32750904519843
558,2.8907784745793954
559,5.17906328903562
560,16.35885871062668
561,17.51076263855085
562,11.023293281209089
563,21.26496786321186
564,2.024573941415886
565,2.867934050798362
566,30.245347531382613
567,19.308468647525338
568,10.798482541010987
569,20.54916996403753
570,12.639592095324618
571,5.197553202650802
572,7.151927443321494
573,26.685198732039822
574,9.127072551078601
575,3.579708603071442
576,15.155064917878008
577,2.024573941415886
578,36.01870945656577
579,21.42240786265633
580,25.956778995175224
581,37.00183586599593
582,3.6209697462885724
583,15.219834117162693
584,18.978160732286366
585,38.7467277006285
586,3.0242694536478165
587,23.61514704645368
588,3.0242694536478165
589,39.72508280939181
590,18.334367672878887
591,3.0242694536478165
592,38.41560077478695
593,14.090896035186493
594,4.929237551963151
595,9.734085327483307
596,3.0242694536478165
597,3.0242694536478165
598,26.661681981139925
599,2.022593208643202
600,3.0242694536478165
601,17.28617427977418
