,Noisy DQN
151,14.400000000000002
152,23.044444444444455
153,11.533333333333335
154,5.2666666666666675
155,41.111111111111136
156,7.1333333333333355
157,14.400000000000004
158,16.66666666666667
159,12.48888888888889
160,11.155555555555555
161,34.68688783570301
162,32.91111111111113
163,24.333333333333343
164,11.022222222222222
165,3.533333333333333
166,3.1999999999999997
167,12.800000000000002
168,22.000000000000007
169,17.288888888888895
170,24.6888888888889
171,35.131332280147475
172,34.68888888888891
173,17.777777777777782
174,26.933333333333344
175,12.355555555555558
176,24.533333333333342
177,25.377777777777787
178,10.177777777777777
179,7.644444444444443
180,16.466666666666672
181,15.666666666666673
182,22.13333333333334
183,24.133333333333344
184,17.422222222222228
185,18.400000000000006
186,2.5777777777777775
187,3.533333333333333
188,19.755555555555564
189,7.000000000000002
190,35.086887835703
191,37.84244339125854
192,17.777777777777782
193,39.999999999999986
194,42.2222222222222
195,30.400000000000013
196,2.666666666666667
197,22.355555555555565
198,19.13333333333334
199,11.866666666666667
200,8.733333333333336
201,3.333333333333333
202,21.73333333333334
203,29.600000000000016
204,17.06666666666667
205,21.533333333333342
206,20.311111111111117
207,11.200000000000001
208,4.133333333333334
209,14.800000000000006
210,5.111111111111111
211,13.933333333333339
212,21.155555555555562
213,23.866666666666678
214,19.466666666666672
215,8.733333333333336
216,2.488888888888889
217,7.999999999999999
218,39.575776724591904
219,22.844444444444452
220,8.799999999999999
221,18.93333333333334
222,8.933333333333332
223,19.755555555555564
224,37.220221169036364
225,12.711111111111112
226,1.5999999999999999
227,12.000000000000002
228,5.111111111111111
229,14.533333333333335
230,13.17777777777778
231,16.000000000000004
232,21.000000000000007
233,30.44444444444446
234,9.6
235,8.733333333333336
236,18.111111111111118
237,16.088888888888892
238,41.62022116903628
239,2.4
240,14.95555555555556
241,8.799999999999999
242,20.577777777777786
243,36.200000000000024
244,20.13333333333334
245,4.133333333333333
246,17.911111111111115
247,26.222222222222232
248,16.53333333333334
249,11.333333333333337
250,2.666666666666667
251,5.911111111111111
252,20.000000000000007
253,11.533333333333335
254,11.333333333333337
255,32.08888888888891
256,6.799999999999999
257,1.8
258,7.644444444444443
259,15.333333333333337
260,10.177777777777777
261,4.133333333333334
262,23.044444444444455
263,5.777777777777778
264,6.799999999999999
265,17.400000000000006
266,28.800000000000015
267,37.17577672459188
268,14.400000000000004
269,8.933333333333332
270,25.377777777777787
271,10.711111111111112
272,10.711111111111112
273,11.333333333333337
274,9.600000000000003
275,2.6222222222222222
276,20.000000000000007
277,4.8
278,7.000000000000002
279,13.066666666666672
280,13.933333333333339
281,4.4
282,6.733333333333333
283,28.133333333333347
284,6.3999999999999995
285,12.333333333333337
286,14.400000000000004
287,12.48888888888889
288,39.042443391258544
289,22.222222222222232
290,8.733333333333336
291,14.400000000000004
292,7.000000000000002
293,20.71111111111112
294,22.13333333333334
295,28.044444444444455
296,2.6222222222222222
297,7.422222222222222
298,8.62222222222222
299,20.577777777777786
300,10.46666666666667
301,26.933333333333344
302,3.1999999999999997
303,21.866666666666674
304,38.331332280147464
305,34.73333333333335
306,6.133333333333335
307,7.644444444444443
308,18.266666666666673
309,21.155555555555562
310,7.999999999999999
311,3.1999999999999997
312,5.111111111111111
313,13.17777777777778
314,17.733333333333338
315,16.088888888888892
316,5.2666666666666675
317,12.355555555555558
318,32.08888888888891
319,22.13333333333334
320,12.48888888888889
321,15.244444444444447
322,32.13333333333335
323,28.755555555555567
324,16.933333333333337
325,13.933333333333339
326,14.400000000000004
327,16.088888888888892
328,8.488888888888887
329,14.800000000000006
330,16.133333333333336
331,7.199999999999999
332,16.088888888888892
333,10.46666666666667
334,27.066666666666677
335,2.4
336,3.5555555555555554
337,2.4
338,38.20000000000002
339,29.600000000000012
340,36.48888888888889
341,8.133333333333333
342,22.844444444444452
343,21.73333333333334
344,32.000000000000014
345,3.533333333333333
346,37.264665613480794
347,8.799999999999999
348,16.800000000000004
349,20.577777777777786
350,8.933333333333332
351,40.64244339125803
352,19.755555555555564
353,38.28688783570302
354,19.755555555555564
355,6.799999999999999
356,14.800000000000006
357,9.600000000000003
358,16.933333333333337
359,16.000000000000004
360,22.844444444444452
361,30.400000000000013
362,2.4
363,38.15355450236969
364,20.577777777777786
