,N-step DQN
163,10.395745069048273
164,5.421984112672962
165,17.44158606696093
166,10.35297455438721
167,1.1293447509844774
168,15.823188683413395
169,5.153508324129961
170,7.3763277675602845
171,5.4254567799722535
172,22.648565344117756
173,12.598791979252832
174,6.287692113303027
175,9.687067252515721
176,1.313462830304775
177,16.133481965506007
178,15.754624097937258
179,4.50641769246028
180,14.067493276083153
181,23.708381395031726
182,12.845078904285725
183,4.530094358997549
184,2.8853457248555636
185,12.020930094240235
186,13.577906159643316
187,3.511111111111111
188,2.5993780516752842
189,3.113767900022601
190,40.39196051740003
191,31.39812373252119
192,22.354069265642917
193,8.892284990346614
194,10.194928902474816
195,7.57841413918924
196,8.041352476280219
197,12.198891287777396
198,11.93127955426146
199,1.6613792569177603
200,8.509871900145638
201,7.66488215699798
202,9.400834325667375
203,4.668668520653879
204,22.24207637828826
205,7.777530870672064
206,3.0242694536478165
207,19.333205992601798
208,3.466362178898597
209,21.534099868649232
210,14.354155150931792
211,15.445000305043724
212,42.86360338736114
213,14.798662397397441
214,28.444243798125175
215,4.778845418174004
216,13.575343248017344
217,3.157132072547558
218,2.1801294969714418
219,1.7765317288026772
220,10.800337054395094
221,2.6467961636381085
222,14.083797961091966
223,10.244171149459584
224,10.529062430986217
225,26.55405847031152
226,8.69191755817467
227,27.44087055056121
228,2.6922643822797063
229,35.80017373377906
230,12.907353921886191
231,6.560570039290456
232,8.659895534720496
233,1.797687796011222
234,11.374992186726166
235,1.75959719616304
236,3.105874400012191
237,3.7131583425367056
238,38.635870418099955
239,3.623798739214225
240,11.912607546290515
241,14.775817098942921
242,14.465537998320512
243,2.001889585690506
244,11.464911608179237
245,17.396328173908113
246,26.021071310810616
247,7.640585486170532
248,1.7764897027602902
249,11.889337668066991
250,6.422667213864951
251,12.713969986353169
252,10.80084519454403
253,8.219161047174278
254,22.77717173508932
255,5.661156448174238
256,2.9793627701417917
257,6.001538919578726
258,9.574131340322243
259,14.77244696527745
260,15.779351538697139
261,38.59329720776727
262,5.890890742876101
263,1.7516406498910841
264,4.220312793265131
265,8.197992865729049
266,1.5309816141396695
267,6.419263143171464
268,27.265839764201456
269,12.712184166254952
270,15.353730544589519
271,17.46414733846615
272,2.8858097802126226
273,33.66434944282011
274,28.883938885605783
275,20.01948034644787
276,17.888443243085035
277,7.842629530920466
278,25.398574259674483
279,18.994586172428402
280,15.224133090075949
281,15.404082349876397
282,1.7334303888094056
283,2.537374533099919
284,2.867934050798362
285,12.730757467443144
286,17.5115458394121
287,4.8
288,8.3357284731897
289,22.291299053799584
290,1.9801294969714418
291,10.354120450670013
