,Double DQN
279,35.929363252126144
280,4.513118245382063
281,1.8690183858603309
282,14.623739977954555
283,12.374520798890835
284,6.916079731252177
285,1.9970791992934733
286,25.131548160754917
287,19.013799954001815
288,9.507489551755702
289,11.794857369473194
290,8.200424575965178
291,24.089030899468817
292,1.710488388015936
293,5.510174370715472
294,13.062705500447558
295,5.3764689724588175
296,24.932299854733838
297,9.90741934604151
298,3.6229102645441094
299,12.037706433757416
300,3.756040880319189
301,4.377155053902207
302,2.9571405479195696
303,17.95374063278564
304,2.9126961034751253
305,3.509288414642504
306,15.371199152302648
307,9.222743944430835
308,1.0432431357581498
309,5.2228229074090455
310,7.224838810352507
311,4.53486863553761
312,7.532210977763077
313,5.648176316963153
314,9.978623867751196
315,20.61573500261565
316,11.019831409263084
317,22.863315761347895
318,6.418234732286424
319,37.61891191115848
320,1.313462830304775
321,12.663894266056667
322,6.845351322125476
323,8.622078375928629
324,33.97091861438463
325,7.312489895605186
326,2.5993772761251943
327,3.2419976090553515
328,22.156149526270724
329,13.690849960886561
330,7.640038002511599
331,17.51174951098381
332,11.347919495624431
333,1.0432431357581495
334,10.044665850538811
335,14.418171343617061
336,15.731174993228244
337,5.3332872605489445
338,10.659600207502745
339,4.734393565088558
340,10.956623631328522
341,3.554303079621906
342,8.112484205546314
343,2.8020472314255946
344,2.6216002738975064
345,7.753110476780037
346,38.12941972155609
347,8.242361935111441
348,15.751534910192643
349,8.799039218715958
350,10.862989208965995
351,4.401283384566535
352,36.82231601865095
353,8.178732032211185
354,8.623797917943842
355,18.191905578696943
356,5.417208433833329
357,13.552830198791895
358,1.7543535194069735
359,7.557280921239408
360,12.755744360710034
361,3.7566434150422774
362,4.557090857759833
363,3.9748617140638296
364,3.022597369709702
365,30.85599251733597
366,7.3563550911474165
367,5.087686690712411
368,10.577635824886169
369,14.621128488406098
370,2.5993780516752842
371,10.065784066713741
372,10.022038265780319
373,8.26746855982088
374,38.61825136882073
375,15.531775739756698
376,10.928936081087944
377,12.841978223502844
378,19.883389574735382
379,10.683102437836205
380,4.445045132663654
381,13.24044811281804
382,13.129148643775027
383,4.86330159327688
384,6.396923760498741
385,5.665477819861702
386,5.7788797955368505
