,PPO
172,35.50639063
173,8.309109952
174,36.82164793
175,22.5520462
176,34.35266255
177,35.88640901
178,23.84202362
179,35.15196675
180,36.17507163
181,13.44541045
182,34.26466549
183,34.46438995
184,36.65976147
185,34.53124731
186,34.35793609
187,35.39468828
188,35.416802
189,34.50876209
190,10.4912453
191,36.9535545
192,17.50584228
193,36.969828
194,37.19702717
195,26.44152494
196,39.19578889
197,31.62040973
198,5.335064659
199,17.93039828
200,34.99648937
201,33.933684
202,35.35258591
203,36.08448247
204,35.75205676
205,7.508173319
206,11.89155176
207,10.84013119
208,36.59799886
209,3.107910909
210,12.44147694
211,3.510488387
212,13.86369988
213,16.50910398
214,35.41743583
215,20.24637872
216,34.84213925
217,11.26932779
218,35.64094402
219,36.44507068
220,35.68688782
221,35.17532345
222,4.155237319
223,37.75116546
224,36.3535545
225,36.24088196
226,35.24243731
227,35.41929191
228,35.59911413
229,36.55164255
230,36.50906581
231,34.88594851
232,37.04178094
233,29.62391865
234,36.06310579
235,8.175776711
236,35.44031654
237,36.88444742
238,36.50755543
239,2.912696103
240,33.90907168
241,36.39618801
242,5.41991322
243,35.24087676
244,34.97488469
245,36.06327934
246,35.39413464
247,35.19799277
248,37.56958414
249,36.30848667
250,2.907906293
251,35.61867122
252,3.98039447
253,1.684224966
254,35.1088076
255,5.775775924
256,6.508216375
257,13.22441406
258,3.040085009
259,36.35271086
260,35.35288746
261,35.15290387
262,35.23912171
263,34.97577582
264,2.553203836
265,35.04532018
266,19.99674227
267,36.44244338
268,27.02390746
269,13.66466561
270,36.19795286
271,36.64244329
272,3.063691455
273,30.84590953
274,35.15351441
275,25.84124063
276,34.6202194
277,35.42236186
278,28.82017587
279,36.3535545
280,36.08688784
281,36.57605769
282,35.88658363
283,36.1535545
284,35.97577672
285,33.5535545
286,36.10843631
287,3.575107054
288,33.73012701
289,35.44244338
290,37.30755941
291,36.59799895
292,35.50910995
293,20.77454252
294,36.75354929
295,34.15355195
296,36.90910808
297,35.997691
298,33.86465962
299,34.59799893
300,33.68657989
301,36.66466561
302,33.9535544
303,13.37577671
304,1.290778475
305,36.30702354
306,36.73133228
307,35.70910469
308,35.44151195
309,35.59791274
310,36.3535545
311,36.53102187
312,33.7535545
313,36.19764942
314,34.55261551
315,22.33133217
316,35.52973203
317,34.72947814
318,34.48510231
319,36.44182067
320,34.28688784
321,20.46666919
322,35.68559732
323,36.33043522
324,34.90909887
325,2.285028095
326,36.90849953
327,9.150346862
328,36.64244339
329,35.33128733
330,35.80114581
331,36.9535545
332,36.66377193
333,36.41995331
334,36.75325001
335,36.24239895
336,36.57546878
337,4.864621277
338,9.975776029
339,36.82022117
340,20.30724318
341,36.4646604
342,36.08537089
343,33.64154971
344,35.92954686
345,34.19799895
346,36.15355449
347,36.70876124
348,36.63976442
349,36.24239984
350,35.15343191
351,14.11115383
352,36.57510873
353,5.108802005
354,33.75293101
355,4.931024319
356,33.3535545
357,34.28688704
358,36.81959844
359,34.42021518
360,34.81932748
361,15.24479431
362,35.5535485
363,33.68597391
364,37.12954958
365,9.049109168
